Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
Neo Exchange - Neo-d (dark),NEO-D,NEOD,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Cboe Australia Primary Peg (nearpoint) Venue,CXA,CXAN,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Akis - Banca Akros - Systematic Internaliser,AKIS,AKIS,Italy,Euro,Europe/Rome, 09:00, 17:25
Tradegate Exchange,TGAG,TGAT,Germany,Euro,Europe/Berlin, 08:00, 20:00
Wall Street Access Nyc - Vndm,VNDM,VNDM,United States,United States Dollar,America/New_York, 09:30, 16:00
Refinitiv Transactions Services Limited,RTSL,RTSL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Xetra - Freiverkehr,XETRA,XETB,Germany,Euro,Europe/Berlin, 08:00, 20:00
Credit Suisse International - Systematic Internaliser,CSI SI,CSSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Nx Japan,NXJP,NXJP,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Xetra - Regulierter Markt,XETRA,XETA,Germany,Euro,Europe/Berlin, 08:00, 20:00
Canadian Imperial Bank Of Commerce - Systematic Internaliser,CIBC,CIBC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Osaka Dojima Commodity Exchange,ODE,XKAC,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Ice Endex Uk Ocm Gas Spot,ICE ENDEX OCM,NDCM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Six Digital Exchange,SIX,XSDX,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Finesti S.a.,CCLUX,CCLX,Luxembourg,Euro,Europe/Luxembourg, 09:00, 17:35
Cassa Di Compensazione E Garanzia Spa - Ccp Energy Derivatives,CCGENERGYDER,CGND,Italy,Euro,Europe/Rome, 09:00, 17:25
Social Stock Exchange,SSE,SSEX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Box Options Exchange,BOX,XBOX,United States,United States Dollar,America/New_York, 09:30, 16:00
Asx - Volumematch,ASX,ASXV,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Toronto Dominion Bank - London Branch,TD BANK,TDBL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Credit Suisse (ch),CSZ,CSZH,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
China Foreign Exchange Trade System - Shanghai - Hong Kong Bond Connect,CFETSBC,CFBC,China,Chinese Yuan,Asia/Shanghai, 09:30, 15:00
Athens Stock Exchange,ASE,ASEX,Greece,Euro,Europe/Athens, 10:15, 17:20
Deutsche Bank - Manual Otc,MANUAL OTC,DBMO,Germany,Euro,Europe/Berlin, 08:00, 20:00
Cboe Europe Regulated Markets (nl),CBOE EU RM,CCRM,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
"Bank Of America, National Association - London Branch Office - Systematic Internaliser",BANA LONDON,BASI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Dxe Order Books (nl),CBOE EU DXE,CEUX,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Bulgarian Stock Exchange - International Instruments,BSE,IBUL,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
Bolsa De Comercio Confederada S.a.,BCC,XCNF,Argentina,Argentine Peso,America/Argentina/Buenos_Aires, 11:00, 17:00
Hong Kong Futures Exchange Ltd.,HKFE,XHKF,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Digital Vega,DVFX,DVFX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Asx - Purematch,ASX,ASXP,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Cboe Australia - Warrants,CXA,CXAW,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Tfs Green United States Green Markets,TFS,TFSU,United States,United States Dollar,America/New_York, 09:30, 16:00
Cme Clearing Europe,CME,CMEC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Byx U.s. Equities Exchange,BYXX,BATY,United States,United States Dollar,America/New_York, 09:30, 16:00
Bulgarian Stock Exchange - International Mtf,BSE-MTF,JBUL,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
Mizuho Securities Europe - Systematic Internaliser,MHEU,MHEU,Germany,Euro,Europe/Berlin, 08:00, 20:00
Raiffeisen Bank (hungary) - Systematic Internaliser,RBHU-SI,RBHU,Hungary,Hungarian Forint,Europe/Budapest, 09:00, 17:00
Atlantic Securities Market,ISE ASM,XATL,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Gaspoint Nordic A/s,GPN,NPGA,Denmark,Danish Krone,Europe/Copenhagen, 09:00, 17:00
Rasdaq,RASDAQ,XRAS,Romania,Romanian Leu,Europe/Bucharest, 10:00, 17:45
Goldman Sachs And Co.,GSCO,GSCO,United States,United States Dollar,America/New_York, 09:30, 16:00
Six Repo Ag,SIX,ROSR,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Griffin Markets Limited - Otf,GRIFFIN MARKETS LIMITED,GRIO,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Chicago Mercantile Exchange (floor),CME (FLOOR),FCME,United States,United States Dollar,America/New_York, 09:30, 16:00
"Mufg Bank, Ltd. - Paris Branch - Systematic Internaliser",MUBP SI,MUBP,France,Euro,Europe/Paris, 09:00, 17:30
Cannex Financial Exchange Lts,CANNEX,CANX,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Brokertec Europe Limited - Rfq Trading Protocol,BEM,BTQG,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
"Electronic Etf, Etc/etn And Open-end Funds Market",ETFPLUS,ETFP,Italy,Euro,Europe/Rome, 09:00, 17:25
Mizuho Internal Crossing,MIX,MIZX,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Goldman Sachs International,GSI,GSIL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Six Repo Ag - Otc Spot Market,SIX,XROT,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Global Markets Inc.,CBOE,XCBO,United States,United States Dollar,America/New_York, 09:30, 16:00
State Street Bank And Trust Fx - Systematic Internaliser,SSBTCO,SSFX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bolsa De Valores De Colombia,BVC,XBOG,Colombia,Colombian Peso,America/Bogota, 09:30, 15:55
Arkonis,ARKX,ARKX,United States,United States Dollar,America/New_York, 09:30, 16:00
Investors Exchange,IEX,IEXG,United States,United States Dollar,America/New_York, 09:30, 16:00
Cassa Di Compensazione E Garanzia Spa - Bonds Ccp Service,CCGBONDS,CGDB,Italy,Euro,Europe/Rome, 09:00, 17:25
Swiss Dots By Cats,DOTS,DOTS,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Tsaf Otc - Otf,TSAF OTC,TSAF,France,Euro,Europe/Paris, 09:00, 17:30
Tradegate Exchange - Freiverkehr,TGAG,XGAT,Germany,Euro,Europe/Berlin, 08:00, 20:00
Australian Wool Exchange,AWEX,AWEX,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Exane Bnp Paribas - Mid Point,EXANE BNP PARIBAS,EXMP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Sg Option Europe - Systematic Internaliser,SGOE SI,SGOE,France,Euro,Europe/Paris, 09:00, 17:30
Barclays Fx - Trading,BCAP LX,BARD,United States,United States Dollar,America/New_York, 09:30, 16:00
Cboe Edgx U.s. Equities Exchange,EDGX,EDGX,United States,United States Dollar,America/New_York, 09:30, 16:00
Zobex,ZOBEX,ZOBX,Germany,Euro,Europe/Berlin, 08:00, 20:00
"Stifel, Nicolaus And Company, Incorporated",STFL,STFX,United States,United States Dollar,America/New_York, 09:30, 16:00
Natixis London Branch,NLB,NTUK,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Barclays Capital Securities Limited,BCSL,BCSL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Barclays Capital Securities Limited - Systematic Internaliser,BCSL SI,BCSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Lloyds Bank Corporate Markets - Systematic Internaliser,LBCM,LBCM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Kansas City Board Of Trade,KCBT,XKBT,United States,United States Dollar,America/New_York, 09:30, 16:00
London Derivatives Exchange,LDX,XLDX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Nx Vwap,NXVWAP,NXVW,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Ipsx Prime,IPSX,IPXP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Bzx Options Exchange,BATO,BATO,United States,United States Dollar,America/New_York, 09:30, 16:00
Romanian  Commodities Exchange,BRM,XBRM,Romania,Romanian Leu,Europe/Bucharest, 10:00, 17:45
Cassa Di Compensazione E Garanzia Spa - Triparty Repo Ccp Service,CCGTRIPARTY,CGTR,Italy,Euro,Europe/Rome, 09:00, 17:25
Xtrd,XTRD,XTRD,United States,United States Dollar,America/New_York, 09:30, 16:00
Atfund Mtf,ATFUND,ATFX,Italy,Euro,Europe/Rome, 09:00, 17:25
Hpc Sa - Voice Otf,HPC,HPCV,France,Euro,Europe/Paris, 09:00, 17:30
Bgl Bnp Paribas  - Systematic Internaliser,BGL,BGLU,Luxembourg,Euro,Europe/Luxembourg, 09:00, 17:35
Cboe Europe Regulated Markets,CBOE  EUROPE,BCRM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Btl Otc Bilat Commodity Derivatives,BTL,BTLX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Exane Bnp Paribas - Liquidity Provision,EXLP,EXLP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Asx Bookbuild,ASX,ASXB,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Potamus Trading Llc,HPPO,HPPO,United States,United States Dollar,America/New_York, 09:30, 16:00
London Stock Exchange - Curveglobal Markets,LSE,XLOD,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Carnegie As - Systematic Internaliser,CAR,CNSI,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Asx Tradematch,ASX,ASXT,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Australian Wheat Board,AWB,AWBX,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Finra/nasdaq Trf Carteret (trade Reporting Facility),FINN,FINN,United States,United States Dollar,America/New_York, 09:30, 16:00
Fxcm - Mtf,FXCM,FXGB,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Dxe Dark Order Book (nl),CBOE EU DXE DARK,CEUD,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Bny Mellon Markets Europe Limited,BNYMEL,BKDM,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Electricity Intra-day Market,EXIST,XEID,Turkey,Turkish Lira,Asia/Istanbul, 09:00, 17:30
Rbc - Royal Bank Of Canada,RBC,RBCM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Winterflood Securities Limited - Electronic Platform,WINS,WINS,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Bxe Periodic,BXE PERIODIC,BATP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Royal Bank Of Scotland - Systematic Internaliser,RBS PLC,NWMS,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Virtu Matchit - Conditional Room,KCGM,VCRS,United States,United States Dollar,America/New_York, 09:30, 16:00
Cboe Europe - Bxe Off-book,CBOE OFF-BOOK,BATF,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Norexeco Asa,NOREXECO,NEXO,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Citi Liquifi,LQFI,LQFI,United States,United States Dollar,America/New_York, 09:30, 16:00
"International Securities Exchange, Llc - Equities",ISE,XISE,United States,United States Dollar,America/New_York, 09:30, 16:00
Virtu Matchit - Main Crossing Session,KCGM,VFMI,United States,United States Dollar,America/New_York, 09:30, 16:00
Rosario Future Exchange,ROFEX,ROFX,Argentina,Argentine Peso,America/Argentina/Buenos_Aires, 11:00, 17:00
Henex Electricity Spot Market,HENEX,HESP,Greece,Euro,Europe/Athens, 10:15, 17:20
Currenex Ireland Mtf,CNX MTF,ICUR,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Refinitiv Sef Request For Stream,RSEF (RFS),FXPS,United States,United States Dollar,America/New_York, 09:30, 16:00
Merrill Lynch International - Systematic Internaliser,MLI,MLSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Kbl European Private Bankers S.a.,KBLL,KBLL,Luxembourg,Euro,Europe/Luxembourg, 09:00, 17:35
Asx - Centre Point,ASX,ASXC,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Clearcorp Dealing Systems India Limited - Fx-clear,FXCLR,FXCL,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Cboe Australia Market Peg (farpoint) Venue,CXA,CXAF,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
"Liquidnet, Inc. H2o Ats",LQNA,LIUH,United States,United States Dollar,America/New_York, 09:30, 16:00
Merchants' Exchange,ME,XMER,United States,United States Dollar,America/New_York, 09:30, 16:00
Cassa Di Compensazione E Garanzia Spa,CC&G,CGIT,Italy,Euro,Europe/Rome, 09:00, 17:25
Hungarian Power Exchange,HUPX,HUPX,Hungary,Hungarian Forint,Europe/Budapest, 09:00, 17:00
Athens Exchange Alternative Market,ENAX,ENAX,Greece,Euro,Europe/Athens, 10:15, 17:20
Bny Mellon International - London Branch,BNYM,BKLN,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Fineco Bank - Systematic Internaliser,FBSI,FBSI,Italy,Euro,Europe/Rome, 09:00, 17:25
"Miax Emerald, Llc",EMLD,EMLD,United States,United States Dollar,America/New_York, 09:30, 16:00
London Platinum And Palladium Market,LPPM,LPPM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Op Corporate Bank Plc - Systematic Internaliser,OP,OPCO,Finland,Euro,Europe/Helsinki, 10:00, 18:30
Clearcorp Dealing Systems India Limited - Fx-swap,FXSWAP,FXSW,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Intercontinental Exchange,ICE,IEPA,United States,United States Dollar,America/New_York, 09:30, 16:00
Fx Connect Ireland Mtf,IFXC MTF,IFXC,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Chi-x Japan Select,CHI-SELECT,CHIS,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Miax Pearl Equities,EPRL,EPRL,United States,United States Dollar,America/New_York, 09:30, 16:00
Bids Trading L.p.,BIDS,BIDS,United States,United States Dollar,America/New_York, 09:30, 16:00
Ice Endex Otf Futures,ICE ENDEX OTF,IMCO,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Cassa Di Compensazione E Garanzia Spa - Euro Bonds Ccp Service,CCGEUROBONDS,CGEB,Italy,Euro,Europe/Rome, 09:00, 17:25
Cboe Europe Equities,CBOE  EUROPE,BCXE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Moc Cross,MOCX,MOCX,United States,United States Dollar,America/New_York, 09:30, 16:00
Luminex Trading & Analytics Llc,LTAA,LTAA,United States,United States Dollar,America/New_York, 09:30, 16:00
Nx Select Japan,NXSE,NXSE,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Fex Global,FEX,XFEX,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Kiev International Stock Exchange,KISE,XKIS,Ukraine,Ukrainian Hryvnia,Europe/Kiev, 10:00, 17:30
State Street Bank And Trust Company,SSBTCO,SSBT,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Virtual Auction Global Limited,VAGLOBAL,VAGL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Dxe Off-book (nl),CBOE EU DXE OFF BOOK,CEUO,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Goldman Sachs International Bank,GSIB,GSIB,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Gmex Exchange,GMEX,GMEG,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Bzx U.s. Equities Exchange,BATS,BATS,United States,United States Dollar,America/New_York, 09:30, 16:00
Bgc Derivative Markets L.p.,BGCDML,BGCD,United States,United States Dollar,America/New_York, 09:30, 16:00
Bofa Securities Europe,BOFASE,MLEX,France,Euro,Europe/Paris, 09:00, 17:30
Warsaw Stock Exchange/polish Power Exchange/regulated Market,WSE,PLPD,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Electronic Bond Market,MOT,MOTX,Italy,Euro,Europe/Rome, 09:00, 17:25
Cats,CATS,CATS,Germany,Euro,Europe/Berlin, 08:00, 20:00
Cboe Edgx Options Exchange,EDGO,EDGO,United States,United States Dollar,America/New_York, 09:30, 16:00
National Australia Bank - Fx Derivatives And Fixed Income Securities - Systematic Internaliser,NAB,NABA,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Credit Suisse Ag,CSA,CSAG,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Ice Markets Equity,ICE ENDEX EQUITY,IMEQ,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Mitsubishi Diamond Crossing,MDX,MUDX,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Gmg Brokers Limited,GMGLDN,GMGL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Automated Equity Finance Markets,AQS,XAQS,United States,United States Dollar,America/New_York, 09:30, 16:00
Arex - Automated Receivables Exchange,AREX,AREX,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Morgan Stanley Europe S.e. - Systematic Internaliser,MESI,MESI,Germany,Euro,Europe/Berlin, 08:00, 20:00
"Wells Fargo Securities, Llc - Cash Equities",WFS,WELS,United States,United States Dollar,America/New_York, 09:30, 16:00
Route4gas,R4G,RR4G,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Clearcorp Dealing Systems (india) Ltd.,CLEARCORP,CDSL,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Nordic Sme,NGM,NSME,Sweden,Swedish Krona,Europe/Oslo, 09:00, 16:30
Posit Dark,DARK,XPOS,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Berenberg Fixed Income - Systematic Internaliser,BGFI,BGFI,Germany,Euro,Europe/Berlin, 08:00, 20:00
Virtu Client Market Making,VCMM,VALX,United States,United States Dollar,America/New_York, 09:30, 16:00
Clear Markets Europe Limited,CM MTF,CMMT,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Themis Trading Llc,THEM,THEM,United States,United States Dollar,America/New_York, 09:30, 16:00
Hungarian Derivative Energy Exchange,HUDEX,HUDX,Hungary,Hungarian Forint,Europe/Budapest, 09:00, 17:00
Bnpp Cortex Ats,BNPX,BNPC,United States,United States Dollar,America/New_York, 09:30, 16:00
Asx - New Zealand Futures & Options,ASX,NZFX,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Cibc World Markets Plc - Systematic Internaliser,CIBC WM PLC,CIBP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Australia - Limit Venue,CXA,CXAC,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Bofa Securities Europe - Rfq - Systematic Internaliser,BOFASE,MLER,France,Euro,Europe/Paris, 09:00, 17:30
Bernstein Cross (bern-x),BERN-X,BRNX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Marex Spectron International Limited Otf,MSIL OTF,SPEC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Stock Exchange Of Hong Kong Limited - Shenzhen - Hong Kong Stock Connect,SEHK,SZSC,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Imc - Systematic Internaliser,IMC,IMCT,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Xetra,XETRA,XETR,Germany,Euro,Europe/Berlin, 08:00, 20:00
Wel - Systematic Internaliser,WEL SI,WELN,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Hong Kong Exchanges And Clearing Ltd,HKEX,XHKG,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Osaka Exchange,OSE,XOSE,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Independent Bulgarian Energy Exchange,IBEX,IBEX,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
Dcx (derivatives Currency Exchange),DCX,DEAL,United States,United States Dollar,America/New_York, 09:30, 16:00
Energy Trading Platform Amsterdam,ETPA,ETPA,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
"Sg Americas Securities, Llc - Second Venue",SGAS,SGA2,United States,United States Dollar,America/New_York, 09:30, 16:00
"Nyse Chicago, Inc.",CHX,XCHI,United States,United States Dollar,America/New_York, 09:30, 16:00
Ukrainian Interbank Currency Exchange,UICE,UICE,Ukraine,Ukrainian Hryvnia,Europe/Kiev, 10:00, 17:30
Cboe Europe - Cxe Order Books,CBOE EUROPE,CHIX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Ice Benchmark Administration,IBA,IBAL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bank Of America Merrill Lynch - Swap Executions,MLFE,BASE,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Bank Zachodni Wbk S.a. - Systematic Internaliser,BZ WBK,WBKP,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Icap Securities - Otf,ISL OTF,IOTF,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Otc Exchange Of India,OTCEI,OTCX,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Jane Street Jx,JX,JSJX,United States,United States Dollar,America/New_York, 09:30, 16:00
"Bank Of America, National Association",BANA,BANA,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Dxe Periodic (nl),CBOE EU DXE PERIODIC,BEUP,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Norwegian Over The Counter Market,NOTC,NOTC,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Barclays Direct Ex Ats,BCDX,BCDX,United States,United States Dollar,America/New_York, 09:30, 16:00
International Martime Exchange,IMAREX,XIMA,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Lbbw - Landesbank Baden-wuerttemberg - Liquidity Provider,LLBW,LBWL,Germany,Euro,Europe/Berlin, 08:00, 20:00
Stifel Europe Bank Ag  - Systematic Internaliser,SEBA,SEBA,Germany,Euro,Europe/Berlin, 08:00, 20:00
Virtu Financial Ireland Limited - Systematic Internaliser,VIRTU SI,VFSI,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Ice Endex Futures,ICE ENDEX RM,NDEX,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Barclays Bank Ireland Plc - Systematic Internaliser,BBI SI,BBIS,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Exane Bnp Paribas - Direct Capital Access,EXDC,EXDC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
"Puma Capital, Llc",PUMA,PUMA,United States,United States Dollar,America/New_York, 09:30, 16:00
Jane Street Execution Services Llc,JX,JSES,United States,United States Dollar,America/New_York, 09:30, 16:00
Fx Connect Ireland Mtf - Rfq,IFXC MTF,IFXR,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Bank Of America - Merrill Lynch Gcx,MLCX,BAMX,United States,United States Dollar,America/New_York, 09:30, 16:00
Deutsche Bank Ag - Systematic Internaliser,DBES,DBES,Germany,Euro,Europe/Berlin, 08:00, 20:00
Cboe Bzx U.s. Equities Exchange Dark,BZXDARK,BZXD,United States,United States Dollar,America/New_York, 09:30, 16:00
Indonesia Stock Exchange,IDX,XIDX,Indonesia,Indonesian Rupiah,Asia/Jakarta, 09:00, 17:30
Cboe Europe - Regulated Market Integrated Book,CBOE  REGM LIT,BART,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
"International Securities Exchange, Llc",ISE,XISX,United States,United States Dollar,America/New_York, 09:30, 16:00
National Australia Bank - Systematic Internaliser,NAB,NABL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Futures Exchange,CFE,XCBF,United States,United States Dollar,America/New_York, 09:30, 16:00
"Clear Markets Japan, Inc.",CM ETP,CMET,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Cioi,CIOI,CIOI,United States,United States Dollar,America/New_York, 09:30, 16:00
Kalshiex Llc,KEX,KLSH,United States,United States Dollar,America/New_York, 09:30, 16:00
Scotiabank (ireland) Designated Activity Company - Systematic Internaliser,SIDAC,SIDX,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Ersx,ERSX,ERIS,United States,United States Dollar,America/New_York, 09:30, 16:00
Fx Connect Ireland Mtf - Allocations,IFXC MTF,IFXA,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Chicago Board Of Trade (floor),CBOT (FLOOR),FCBT,United States,United States Dollar,America/New_York, 09:30, 16:00
Cassa Di Compensazione E Garanzia Spa - Equity Ccp Service,CCGEQUITY,CGQT,Italy,Euro,Europe/Rome, 09:00, 17:25
"Gfi Swaps Exchange, Llc",GFI SEF,GSEF,United States,United States Dollar,America/New_York, 09:30, 16:00
Cboe Edgx U.s. Equities Exchange Dark,EDGXDARK,EDDP,United States,United States Dollar,America/New_York, 09:30, 16:00
European Energy Exchange,EEX,XEEE,Germany,Euro,Europe/Berlin, 08:00, 20:00
Energy Broking Ireland Gas Trading Platform,EBI,XEBI,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Osaka Exchange J-net,J-NET,XOSJ,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Society3 Fundersmart,S3FM,S3FM,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Icap Eu -  Otf - Registration,TPIE,ICOR,France,Euro,Europe/Paris, 09:00, 17:30
Aktieselskabet Arbejdernes Landsbank - Systematic Internaliser,ALSI,ALSI,Denmark,Danish Krone,Europe/Copenhagen, 09:00, 17:00
Six Repo Ag - Ch Repo Market,SIX,XREP,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Credit Suisse International,CSI,CSIN,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Lbbw - Landesbank Baden-wuerttemberg - Systematic Internaliser,LLBW,LBWS,Germany,Euro,Europe/Berlin, 08:00, 20:00
Australia And New Zealand Banking Group Limited Systematic Internaliser,ANZBGL,ANZL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bulgarian Energy Trading Platform,BETP,BEBG,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
European Commodity Clearing Ag,ECC,XECC,Germany,Euro,Europe/Berlin, 08:00, 20:00
Nomura Securities Co Ltd,NSC,NMRJ,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Investors Exchange - Dark,IEX,IEXD,United States,United States Dollar,America/New_York, 09:30, 16:00
Jpmx,JPMX,JPMX,United States,United States Dollar,America/New_York, 09:30, 16:00
Hsbc - Systematic Internaliser,HSBC SI,HSBC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Lampost Capital,LAMP,LAMP,United States,United States Dollar,America/New_York, 09:30, 16:00
